species	class	subclass	0percent	1percent	2percent	3percent	4percent	5percent	6percent
drot	LINE	Jockey-I	1.00300008615577e-05	3.97323705626923e-06	1.35186968134038e-05	1.03691796346538e-05	4.84541104423077e-06	2.43724175524808e-05	2.03507263857692e-05
drot	LINE	Dong-R4	0	0	0	1.35671509238462e-06	0	0	0
drot	LINE	R2	1.45362331326923e-06	3.7794206145e-06	1.69589386548077e-06	1.52630447893269e-05	0	1.17258947270385e-05	6.47831456613654e-05
drot	LINE	Penelope	2.90724662653846e-06	0	1.19197111688077e-05	2.51476833195577e-05	2.54384079822115e-05	4.63221295828462e-05	5.61583140026346e-05
drot	LINE	CRE	0	0	0	4.65159460246154e-06	0	5.18458981732692e-06	6.83202957236538e-06
drot	Retroposon	SVA	0	0	0	0	0	0	0
drot	SINE	SINE	0	0	0	0	0	1.69589386548077e-06	0
drot	SINE	5S	1.33248803716346e-05	1.26949769358846e-05	3.7794206145e-05	6.69635806312692e-05	2.11259921528462e-05	6.31357059063269e-05	7.69935814928269e-05
drot	SINE	7SL	2.37425141167308e-06	0	8.33410699607692e-06	0	0	4.07014527715385e-06	3.44024184140385e-06
drot	SINE	Alu	0	3.44993266349231e-05	3.11559930144038e-05	6.82718416132115e-05	4.46262357173654e-05	4.0313819888e-05	6.46377833300385e-05
drot	SINE	tRNA	4.62736754724038e-05	0.000135962233901115	0.000271391472587365	0.000521850769463654	0.00151099298003292	0.00164196444055848	0.00297396793661752
drot	SINE	tRNA-Alu	0	0	1.88971030725e-06	5.32995214865385e-06	1.39063296969423e-05	2.03991804962115e-05	2.95570073698077e-05
drot	SINE	tRNA-RTE	0	0	0	1.50207742371154e-06	0	0	6.78357546192308e-06
drot	SINE	RTE	0	0	0	0	0	0	1.59898564459615e-06
drot	SINE	Deu	0	0	0	0	0	0	0
drot	SINE	tRNA-V	0	0	0	0	0	0	0
drot	SINE	MIR	1.04660878555385e-05	5.08768159644231e-06	7.07430012457692e-06	4.13313562072885e-05	1.32764262611923e-05	5.72727585428077e-05	0.000118906387025423
drot	SINE	U	1.74434797592308e-06	0	1.69589386548077e-06	8.04338233342308e-06	0	3.73096650405769e-06	8.04338233342308e-06
drot	SINE	tRNA-7SL	0	0	0	0	0	0	0
drot	SINE	tRNA-CR1	1.84125619680769e-06	0	0	0	0	0	0
shon	Unknown	Unknown	1.50117095981347e-05	0	7.57733913048704e-06	9.24530686361312e-06	3.57421657098445e-06	1.25335861089188e-05	2.59726404158204e-05
shon	Other	Other	0	0	0	0	0	0	0
shon	DNA	CMC	5.97132448459136e-05	5.33749674600345e-06	6.90538641514196e-05	4.94671573424248e-05	9.05468197982728e-05	0.000139251477605554	0.000178329578781651
shon	DNA	Crypton	1.2867179655544e-06	0	0	0	2.14452994259067e-06	0	0
shon	DNA	Ginger	0	0	1.763280175019e-06	4.28905988518134e-06	0	3.81249767571675e-06	2.38281104732297e-06
shon	DNA	Harbinger	1.38679602954197e-05	3.09765436151986e-06	4.78945020511917e-05	4.52257536781899e-05	0.000102842124802459	0.000205636593383972	0.000307573249988449
shon	DNA	hAT	0.000239472510255958	0.000402933348102314	0.00068953786087432	0.00246925943211985	0.0059977260309957	0.00983948462637357	0.015354167201856
shon	DNA	Kolobok	6.43358982777201e-06	0	1.73945206454577e-05	2.02062376812988e-05	1.12945243643109e-05	1.91101445995302e-05	2.43523289036407e-05
shon	DNA	Maverick	1.25812423298653e-05	0	3.86015389666321e-06	1.79187390758687e-05	1.77281141920829e-05	3.78866956524352e-05	5.67585591472331e-05
shon	DNA	DNA	1.72038957616718e-05	9.1499944217202e-06	3.23109178016994e-05	7.61069848514956e-05	0.000140585851792055	0.000233896732405223	0.000514067655349457
shon	DNA	Merlin	0	0	0	0	2.47812348921589e-06	4.71796587369948e-06	1.26765547717582e-05
shon	DNA	MULE	1.95390505880483e-05	1.90624883785837e-06	2.42093602408014e-05	4.26046615261347e-05	4.19851306538307e-05	6.64327719993644e-05	7.24851120595647e-05
shon	DNA	P	3.95546633855613e-06	0	0	3.14531058246632e-06	4.38437232707426e-06	7.24374558386182e-06	8.05390133995163e-06
shon	DNA	PiggyBac	1.23906174460794e-06	0	2.64968588462314e-05	1.34390543069015e-05	7.33905802575474e-06	9.25960372989705e-05	0.000175470205524863
shon	DNA	TcMar	0.000180712389828974	4.23187242004559e-05	0.000251386565492573	0.000576163711242694	0.000648029292429954	0.00181146061439587	0.00414475684815546
shon	DNA	Zator	0	0	0	0	0	0	1.57265529123316e-06
shon	DNA	Dada	0	0	4.0984350013955e-06	4.76562209464594e-06	4.0984350013955e-06	1.09132745967392e-05	1.29624920974369e-05
shon	RC	Helitron	2.60679528577133e-05	2.66874837300172e-06	4.37484108288497e-05	4.36054421660103e-05	3.03570127428946e-05	6.59562097898998e-05	9.76952529402417e-05
shon	LTR	DIRS	4.52734098991364e-06	0	3.71718523382383e-06	1.48687409352953e-05	2.47812348921589e-06	1.01507750615958e-05	3.34546671044145e-05
